Ritmo,sentimiento,valor
Atico,Negativo,5
Atico,Positivo,2
Bailecito,Negativo,12
Bailecito,Positivo,28
Brincao,Negativo,12
Brincao,Positivo,22
Cancion,Negativo,7
Cancion,Positivo,10
Caporal,Negativo,57
Caporal,Positivo,49
Carnaval,Negativo,3
Carnaval,Positivo,4
Carnavalito,Negativo,12
Carnavalito,Positivo,20
Chacarera,Negativo,0
Chacarera,Positivo,0
Chovena,Negativo,6
Chovena,Positivo,0
Chovena mojeña,Negativo,12
Chovena mojeña,Positivo,4
Chuntunqui,Negativo,49
Chuntunqui,Positivo,34
"Contrapunto, Tonada, Cacharpaya",Negativo,15
"Contrapunto, Tonada, Cacharpaya",Positivo,2
Coplas,Negativo,8
Coplas,Positivo,6
Cueca,Negativo,189
Cueca,Positivo,168
Cullaguada,Negativo,9
Cullaguada,Positivo,25
Danza Aymara,Negativo,5
Danza Aymara,Positivo,5
Diablada,Negativo,1
Diablada,Positivo,3
Huayño,Negativo,NA
Huayño,Positivo,NA
Huayño cacharpaya,Negativo,5
Huayño cacharpaya,Positivo,2
Huayño kalampeado,Negativo,7
Huayño kalampeado,Positivo,10
Huayño phuna,Negativo,4
Huayño phuna,Positivo,5
Kaluyo,Negativo,42
Kaluyo,Positivo,18
Llamerada,Negativo,7
Llamerada,Positivo,2
Macheteros,Negativo,1
Macheteros,Positivo,2
Morenada,Negativo,44
Morenada,Positivo,72
Pasacalle,Negativo,18
Pasacalle,Positivo,15
Polca,Negativo,11
Polca,Positivo,12
Pujllay,Negativo,4
Pujllay,Positivo,9
Salaque Jalk´a,Negativo,0
Salaque Jalk´a,Positivo,6
Salay,Negativo,3
Salay,Positivo,5
Saya afroboliviana,Negativo,4
Saya afroboliviana,Positivo,1
Sicuri,Negativo,6
Sicuri,Positivo,4
Taki taki,Negativo,0
Taki taki,Positivo,3
Taquirari,Negativo,92
Taquirari,Positivo,114
Tinku,Negativo,77
Tinku,Positivo,80
Tobas,Negativo,9
Tobas,Positivo,13
Tonada,Negativo,29
Tonada,Positivo,16
Tonada Huayño,Negativo,6
Tonada Huayño,Positivo,1
Vals,Negativo,3
Vals,Positivo,7
